minimum_rate,guests_max,min_stay,extra,property_type,property_bedrooms,area_name,booking_guest_number,hari,harga,minggu,bulan
778333.3333333334,5.0,1.0,0.0,4.0,9.0,2,1,2,463616.52,1,5
800000.0,5.0,1.0,0.0,4.0,4.0,4,2,1,597082.05,1,5
1300000.0,6.0,1.0,0.0,2.0,4.0,10,8,1,1400283.88,1,5
1416666.6666666667,8.0,1.0,0.0,2.0,3.0,26,5,7,1755352.347,1,5
1950000.0,8.0,2.0,0.0,2.0,4.0,24,6,2,2242448.245,1,5
310000.0,2.0,1.0,0.0,4.0,4.0,24,2,4,360073.235,1,5
320000.0,2.0,2.0,0.0,4.0,2.0,24,1,20,425081.744,1,5
305000.0,2.0,1.0,0.0,4.0,8.0,2,2,30,300059.5373,1,5
900000.0,6.0,1.0,0.0,2.0,3.0,23,4,12,1080222.548,1,5
340000.0,2.0,1.0,0.0,4.0,10.0,2,2,5,543309.016,1,5
960000.0,3.0,1.0,0.0,4.0,4.0,13,4,2,950160.655,1,5
1500000.0,4.0,1.0,0.0,2.0,2.0,26,5,1,1740312.75,1,5
480000.0,6.0,1.0,0.0,4.0,4.0,13,3,2,916872.305,1,5
1041666.6666666666,4.0,1.0,0.0,4.0,4.0,2,2,4,600126.9075,1,5
480000.0,6.0,1.0,0.0,4.0,4.0,13,2,4,180025.5425,1,5
780000.0,5.0,2.0,0.0,4.0,6.0,24,2,5,420073.478,1,5
505000.0,4.0,1.0,1.0,4.0,6.0,10,1,4,480111.9525,1,5
850000.0,4.0,1.0,0.0,2.0,2.0,4,1,7,1232523.28,1,5
1312500.0,4.0,1.0,0.0,4.0,13.0,1,2,1,646118.45,1,5
675000.0,2.0,1.0,0.0,4.0,4.0,24,1,7,792158.5714,1,5
800000.0,5.0,1.0,0.0,4.0,4.0,4,1,3,595095.9767,1,5
800000.0,5.0,1.0,0.0,4.0,4.0,4,1,4,650134.7525,1,5
675000.0,2.0,1.0,0.0,4.0,4.0,24,2,3,887959.3067,1,5
5500000.0,8.0,2.0,1.0,2.0,3.0,12,5,3,5046471.477,1,5
600000.0,2.0,1.0,0.0,2.0,1.0,16,2,27,764761.8019,1,5
1041666.6666666666,4.0,1.0,0.0,4.0,4.0,2,1,2,720123.955,1,5
1041666.6666666666,4.0,1.0,0.0,4.0,4.0,2,1,1,650080.91,1,5
642500.0,4.0,1.0,0.0,4.0,3.0,7,2,1,490152.33,1,5
1102500.0,7.0,1.0,0.0,4.0,6.0,13,2,1,410023.03,1,5
642500.0,4.0,1.0,0.0,4.0,3.0,7,2,1,608580.0,1,5
642500.0,4.0,1.0,0.0,4.0,3.0,7,2,1,491714.76,1,5
524000.0,4.0,1.0,0.0,5.0,13.0,13,2,3,413223.42,1,5
320000.0,2.0,2.0,0.0,4.0,2.0,24,1,1,451787.1,1,5
1562500.0,6.0,1.0,0.0,4.0,7.0,1,2,3,574481.34,1,5
475000.0,2.0,1.0,0.0,4.0,6.0,1,2,2,655642.2,1,5
310000.0,2.0,1.0,0.0,4.0,4.0,24,2,2,390060.425,1,5
340000.0,2.0,1.0,0.0,4.0,6.0,24,1,3,389579.9533,1,5
320000.0,2.0,2.0,0.0,4.0,2.0,24,1,4,480084.9375,1,5
350000.0,2.0,2.0,0.0,4.0,7.0,2,2,4,450086.3975,1,5
700000.0,2.0,1.0,0.0,2.0,1.0,1,1,1,579544.35,1,5
360000.0,2.0,1.0,0.0,4.0,5.0,24,1,9,458197.4311,1,5
360000.0,2.0,1.0,0.0,4.0,5.0,24,1,5,361058.082,1,5
340000.0,2.0,1.0,0.0,4.0,10.0,2,2,1,410088.51,1,5
2250000.0,9.0,1.0,1.0,2.0,4.0,26,8,1,2822043.43,1,5
1500000.0,4.0,1.0,0.0,2.0,2.0,26,2,2,1653343.86,1,5
1041666.6666666666,4.0,1.0,0.0,4.0,4.0,2,2,3,547291.4833,1,5
1312500.0,4.0,1.0,0.0,4.0,13.0,1,1,1,680135.01,1,5
1562500.0,6.0,1.0,0.0,4.0,7.0,1,2,2,610124.815,1,5
1562500.0,6.0,1.0,0.0,4.0,7.0,1,2,5,610113.612,1,5
882500.0,3.0,1.0,0.0,2.0,6.0,2,2,1,1216242.37,1,5
882500.0,3.0,1.0,0.0,2.0,6.0,2,2,3,1408137.95,1,5
550000.0,2.0,1.0,0.0,4.0,17.0,24,7,3,2217114.293,1,5
550000.0,2.0,1.0,0.0,4.0,17.0,24,2,3,480098.32,1,5
1312500.0,4.0,1.0,0.0,4.0,13.0,1,1,3,700134.4867,1,5
4500000.0,8.0,1.0,1.0,2.0,3.0,12,8,2,6276917.54,1,5
625000.0,2.0,1.0,0.0,4.0,5.0,1,2,31,354838.7097,1,5
2250000.0,6.0,1.0,0.0,2.0,4.0,25,2,1,2280453.69,1,5
